name	party	state	id
ABOU ANNI	PSL	São Paulo	332
ABÍLIO SANTANA	PL	Bahia	190
ACÁCIO FAVACHO	PROS	Amapá	10
ADOLFO VIANA	PSDB	Bahia	191
ADRIANA VENTURA	Novo	São Paulo	333
ADRIANO DO BALDY	PP	Goiás	416
AELTON FREITAS	PL	Minas Gerais	566
AFONSO FLORENCE	PT	Bahia	182
AFONSO HAMM	PP	Rio Grande do Sul	487
AFONSO MOTTA	PDT	Rio Grande do Sul	490
AGUINALDO RIBEIRO	PP	Paraíba	129
AIRTON FALEIRO	PT	Pará	18
AJ ALBUQUERQUE	PP	Ceará	87
ALAN RICK	DEM	Acre	53
ALCEU MOREIRA	MDB	Rio Grande do Sul	486
ALCIDES RODRIGUES	Patriota	Goiás	419
ALENCAR SANTANA BRAGA	PT	São Paulo	337
ALESSANDRO MOLON	PSB	Rio de Janeiro	287
ALEX MANENTE	Cidadania	São Paulo	331
ALEX SANTANA	PDT	Bahia	194
ALEXANDRE FROTA	PSDB	São Paulo	340
ALEXANDRE LEITE	DEM	São Paulo	334
ALEXANDRE PADILHA	PT	São Paulo	341
ALEXIS FONTEYNE	Novo	São Paulo	343
ALICE PORTUGAL	PCdoB	Bahia	180
ALIEL MACHADO	PSB	Paraná	441
ALINE GURGEL	Republica	Amapá	11
ALINE SLEUTJES	PSL	Paraná	443
ALTINEU CÔRTES	PL	Rio de Janeiro	286
ALUISIO MENDES	PSC	Maranhão	68
ALÊ SILVA	PSL	Minas Gerais	222
AMARO NETO	Republica	Espírito Santo	275
ANDRÉ ABDON	PP	Amapá	9
ANDRÉ DE PAULA	PSD	Pernambuco	140
ANDRÉ FERREIRA	PSC	Pernambuco	139
ANDRÉ FIGUEIREDO	PDT	Ceará	89
ANDRÉ FUFUCA	PP	Maranhão	72
ANDRÉ JANONES	Avante	Minas Gerais	223
ANGELA AMIN	PP	Santa Catarina	471
ANTONIO BRITO	PSD	Bahia	189
ANÍBAL GOMES	DEM	Ceará	541
ARLINDO CHINAGLIA	PT	São Paulo	336
ARNALDO JARDIM	Cidadania	São Paulo	339
AROLDO MARTINS	Republica	Paraná	444
ARTHUR OLIVEIRA MAIA	DEM	Bahia	192
AUGUSTO COUTINHO	Solidarie	Pernambuco	141
AUREO RIBEIRO	Solidarie	Rio de Janeiro	290
AÉCIO NEVES	PSDB	Minas Gerais	221
BACELAR	Podemos	Bahia	184
BALEIA ROSSI	MDB	São Paulo	342
BENEDITA DA SILVA	PT	Rio de Janeiro	291
BENES LEOCÁDIO	Republica	Rio Grande do Norte	120
BETO FARO	PT	Pará	19
BETO PEREIRA	PSDB	Mato Grosso do Sul	433
BETO ROSADO	PP	Rio Grande do Norte	121
BIA CAVASSA	PSDB	Mato Grosso do Sul	532
